,EXEC,MEM,PhysIPC%,FREQ,L2MISS,L2MPI,INSTnom%,IPC,INST,L3MISS,L3MPI,L3HIT,GT,Pred
775,0.2606985525484582,0.015174927113692173,0.6724946695094527,0.3003022728499516,0.0027459090909065947,0.004039615846330531,0.2608759553203997,0.6719971570696518,0.4571057626255426,0.007336134453777453,0.0023705765145896375,0.964714285714,1.02464721626,1.0262118529090376
780,0.3791692888612335,0.005782031609642438,0.4756218905472637,0.6170024693179247,0.943863636363233,0.9359743897563025,0.3793986730496766,0.4756218905472637,0.6462226272051659,0.005389285714283374,0.0011809886523487221,1.0,1.0327802133700001,1.038900024224734
1224,0.9140969162995596,0.008462674543497067,0.7825870646766171,0.9031503155609807,0.31380681818153294,0.1307422969187675,0.913800705467372,0.7835820895522388,0.3924872641161341,0.00939705882353632,0.0008525415255320682,0.99975,1.09744444936,1.1482977448898128
754,0.2630323054331865,0.02602443609021159,0.6776119402985075,0.3006693905424321,0.0033568181818151304,0.00484593837535014,0.26381540270429155,0.677860696517413,0.45388731839528307,0.013792279411774846,0.004376906354790952,0.9440000000000001,1.0084458957,1.021659505663302
1150,0.7583385777239354,0.006255715820152387,0.785216773276617,0.7477779497247945,0.152636363636134,0.07707082833137253,0.7592172671531451,0.7853589196865672,0.39150137239563004,0.005568277310937919,0.0006063357784437656,0.999714285714,1.04209191019,1.0527602372040503
959,0.9001468428781205,0.006611761546720402,0.7396019900497512,0.9424971740764102,0.3340909090906054,0.1418767507002801,0.9007936507936506,0.7398009950248756,0.41588693807678734,0.005541397058827604,0.0005227526780240449,0.9999,1.2327322573700001,1.1587105482312108
624,0.24473813020044052,0.7132116004297997,0.409950248756219,0.5151069140916881,0.02215606060602986,0.0358636788047619,0.24495394865814224,0.41028192371492544,0.8361921440778066,0.5732352941188038,0.22583598748445874,0.651333333333,1.0494469547,1.0837193019161298
763,0.26596916299559475,0.6388292158965421,0.48034825870646775,0.5199610258098469,0.015423863636349617,0.018662464985994394,0.26601998824221046,0.48034825870646775,0.7775730340372488,0.24744485294135843,0.06633131673988238,0.723,1.03035150099,1.0758528630019701
1218,0.26174743024963293,0.02268931256711993,0.6738805970149253,0.300383854559011,0.0033249999999969775,0.004873949579831932,0.2616108171663727,0.6728855721393036,0.45608641880571926,0.01204411764706768,0.0038646129994386823,0.95125,1.00988613524,1.0230352388703325
685,0.26093979441997067,0.023848549946281505,0.672636815920398,0.30061228334574785,0.0035649090909058508,0.0052156862745098035,0.2616108171663727,0.672636815920398,0.456950973753296,0.011788235294126315,0.0038020705189727596,0.9546,1.0227235732100002,1.02412001124799
1298,0.2619676945668135,0.0201944146079376,0.6740298507462688,0.3008407121324848,0.003543272727269506,0.005092436974789916,0.26219870664315104,0.6746268656716418,0.45574277609675123,0.01120147058824353,0.00353823944096634,0.9582,1.01754491567,1.0247698826652243
1217,0.26229809104258445,0.021629967776572705,0.6753731343283582,0.300383854559011,0.0032542045454515877,0.004733893557422968,0.2627131099353321,0.6766169154228857,0.4550476031016234,0.011321691176478913,0.0036276773225882575,0.95275,1.02023681541,1.0235122895033881
356,0.2613803230543319,0.015994092373783034,0.6721393034825871,0.3007264977391163,0.003226045454542522,0.004647058823529411,0.2613168724279835,0.6721393034825871,0.4572087982509739,0.00997058823530145,0.003154873246711059,0.9595,1.0255052991,1.0252479552839247
494,0.38516886930983846,0.004792588614390552,0.9943283582089554,0.29969856819880036,0.0017099090909075366,0.001664985994397759,0.3855085243974132,0.9945273631840797,0.3090060939738538,0.004135147058826571,0.000882297231255446,0.9704,1.0166483104700001,1.0221019261423456
