,EXEC,IPC,INST,MEM,FREQ,L2MPI,INSTnom%,PhysIPC%,L3MPI,L2MISS,L3MISS,L3HIT,GT,Pred
897,0.36295154185022027,0.9369154228855723,0.3278328338078906,0.002130708915143861,0.2996300395627793,0.0013654341736694677,0.36325690770135205,0.9372338308457714,0.0005616955112534067,0.001324781818180614,0.0024784411764724105,0.9770200000000001,1.02601236029,1.0174776263827263
1030,0.8471704506975037,0.8779181018009952,0.3500669334571109,0.0020860943567695563,0.7470792755976872,0.10843927314509803,0.8479551998074659,0.8778670748815921,0.0002100950078904275,0.24464918414882308,0.002158371040726587,0.9999743589740001,1.02124795195,1.0379406687517194
1342,0.8893338673054334,0.8142921754875623,0.377825848913405,0.0024199199296968746,0.8456226022468366,0.009721670486386556,0.889877612100235,0.8142921754865674,0.00022824221385035206,0.02252669421486134,0.0024157620320973644,0.995563636364,1.13691625174,1.124150411267569
1336,0.8446402349486052,0.8759203980099504,0.35128369335694065,0.0018182448979582075,0.7471905614163687,0.1105266106442577,0.8459141681363903,0.8757810945273633,0.00021963553024017846,0.24311636363614264,0.002205485294119269,0.9999600000000001,1.02727847513,1.0383423011994815
443,0.26034698428267256,0.6709661568706469,0.4577983881844952,0.009370847754291424,0.30017234642335505,0.004188885430728291,0.2605947118974133,0.6710889994467661,0.0014754259454473069,0.0028374747474728752,0.0045523692810474645,0.977333333333,1.0208727146799998,1.0240295806661923
804,0.9913006719162996,0.8253429820597016,0.37233105752178064,0.002012181427593979,0.9295321099074262,0.004010780069607843,0.9919521493592003,0.8253882104626865,0.00014320281053195166,0.010315165289249714,0.00168980614973286,0.9959393939390001,1.22945418359,1.1971058503343688
981,0.37988920037371515,0.46991557364676617,0.654010170545271,0.002478102724335941,0.6257737391813342,0.9444868856638655,0.38025760247942386,0.4698628071761194,0.0005748034940641493,0.9336707988959695,0.0025760026738033646,1.0,1.02988097475,1.0429461287100241
1316,0.2552863436123348,0.47681592039801,0.7979174582082461,0.7283673469378473,0.51202312547074,0.028628104575070028,0.25552616108171655,0.4764510779432836,0.16181810215512135,0.021574106060575846,0.5231585294121495,0.670666666667,1.14339125099,1.136449047594052
1174,0.4558446880440529,0.5904199930597016,0.5204158255634406,0.0019943296780155777,0.5975537692120325,0.04504592534677871,0.4562295776763668,0.590211732037811,0.000388211139166236,0.053417547568587805,0.002095075239398599,0.999674418605,1.02077801404,1.0226213692554211
1237,0.9089574155653452,0.8527363184079603,0.3607195765584263,0.0037444897959163564,0.825861435568554,0.007319663865546218,0.9096413874191649,0.85281592039801,0.0003100911679947287,0.017348545454529685,0.0033742941176495398,0.9916799999999999,1.17330948409,1.1131014840501203
1077,0.9004405286343613,0.8405970149253732,0.3660607327961245,0.0035331041890421413,0.8300188394871653,0.00793781512605042,0.9004703115814225,0.8403184079601993,0.00027096903209099374,0.01860854545452854,0.002914676470590379,0.99192,1.14167699145,1.1150273332675997
1432,0.36354625550660796,0.9395522388059703,0.3271606361227173,0.003066460794842607,0.29975567539548453,0.0016476190476190475,0.3640505584950029,0.9396019900497514,0.0008060082124209039,0.0015991818181803647,0.0035232352941202377,0.97455,1.02311658046,1.0177136219910174
1070,0.3851425128957416,0.9943870391641793,0.3089144787384292,0.0023661075766324567,0.2996517110118066,0.0013169575522521007,0.38544445951793055,0.9947952544965175,0.0005124356590606664,0.0013514568764569532,0.002398699095023823,0.976769230769,1.02109158763,1.020783062075502
498,0.26142527495594714,0.6719463904975126,0.4572709822684311,0.011593195817539424,0.30108312635519097,0.003956439718739495,0.26176078897119337,0.6720479236467662,0.001872135989763967,0.0026929220779211885,0.005799219687886618,0.969959183673,1.00880337332,1.0230050266008028
258,0.2937673356174743,0.5064538419004976,0.6060856299885917,0.0016902076620103703,0.4487039348359623,0.8495175848123249,0.2940263897060552,0.5069928137094527,0.000574954422243991,0.6498863636357729,0.002005269607845592,0.9999722222220001,1.01678870329,1.0189944824229498
1387,0.13283632666886933,0.6710677382338308,0.45812852142677973,0.0013206684293145434,0.1532962159198346,0.003361129067002801,0.13292331810846558,0.6709784411273632,0.001125343210475556,0.001161445221445308,0.001771182126698361,0.9805256410259999,1.06579353958,1.08974601977393
396,0.3842143906020558,0.9883084577114428,0.3110799115504438,0.002745520408161791,0.30094350508651635,0.0015412605042016806,0.38447971781305107,0.9880796019900498,0.0007419075063324511,0.0015442318181804146,0.003403102941178973,0.9751799999999999,1.01951192741,1.0199571134625744
1427,0.24239086904258447,0.5059023066467663,0.6834705301718058,0.6537691631677478,0.416830620161995,0.02122103386809524,0.2425712147927689,0.505744007236816,0.1396620354975845,0.013332107438001518,0.36889371657821246,0.648136363636,1.0858085094299998,1.07465314021512
1245,0.2623243129853157,0.6735370765223881,0.45596018222846263,0.016780727328519453,0.30103650823491257,0.0038321995464985995,0.2623806724338624,0.6738687514805971,0.0025897242277111297,0.0026171212121194392,0.00805462184874857,0.9583809523810001,1.01673969823,1.0216629724944557
427,0.2619009478039647,0.6727272727263681,0.45655614098139724,0.014153402987989177,0.30108990717235373,0.004155334861204482,0.2621452621457966,0.6730167345094528,0.0021236888185531665,0.0028951652892532775,0.006733957219262304,0.967472727273,1.01943789979,1.0226448076037449
606,0.26148909555653455,0.6725631103731344,0.45679309454498823,0.014512173290357408,0.30070111676306605,0.0042909015457983195,0.26169246848324507,0.6727105214666668,0.001904972328790453,0.0029837205387186513,0.0060253267973867835,0.971296296296,1.02120852207,1.023178005130934
706,0.8852527795227607,0.6948869099900498,0.44250200525546085,0.0020373051476218922,0.9867739673110698,0.13889555822324925,0.8861692825279247,0.6948952715412936,0.0001997520762232299,0.32029144384970887,0.002094179436482422,0.999983193277,1.21194426217,1.2115507654379383
665,0.9004138299265787,0.8428312980547265,0.36476477615474445,0.003762010545842233,0.8272756174207808,0.007310415075126051,0.9012078456525571,0.8433288104925375,0.00027502779262896367,0.017498553719006823,0.0030199532085683966,0.9924090909090001,1.09626915609,1.1131883509834197
1026,0.24293755681424378,0.5030916844328359,0.6693698459656374,0.6636374098514161,0.40954018193493563,0.023342003468067224,0.243204277595532,0.5030324567641791,0.14508879671220673,0.014813333333322895,0.4045903361341211,0.6771904761900001,1.0810298115,1.077319168789882
590,0.8865638766519824,0.7037037037014926,0.4371260477723102,0.0034894826351533357,0.9752640144851287,0.15052131963893553,0.886814945457084,0.7038142620228857,0.0003396908139828139,0.3461111111115035,0.0035430147058923118,0.999944444444,1.18538560794,1.1991624511778203
1168,0.38442099511674016,0.47143353002437816,0.65189405900305,0.0029490420403211876,0.6311274885647504,0.9178555142997198,0.3847258110817166,0.4714335300238806,0.000654285982642709,0.9189534883700737,0.0029714261285977727,1.0,1.0266007131000001,1.0427251714903665
835,0.3606550082320118,0.9315543494626868,0.32981054827215306,0.0013602870813392265,0.29969164611442295,0.0016267153325966385,0.36101758323927097,0.9314638926577115,0.00039138694880882846,0.0015271120293817938,0.0016726381461696122,0.985616161616,1.02008717239,1.0178642669574933
787,0.8847283406754773,0.8339073861442787,0.36947221559861565,0.005523031479797786,0.8234418475741834,0.007772031889691877,0.8862999140770134,0.8334864140835821,0.0005343121178384353,0.018084475524451745,0.0056535067873276865,0.986692307692,1.0698868831100001,1.1103719008387927
839,0.8911906408883995,0.6990255334875622,0.4396359077189985,0.0019093039564662144,0.9870483388546715,0.14411880454649859,0.8916728613697824,0.6989926401054727,0.00018473467747171809,0.3340409466574236,0.0019686861934867417,0.999983471074,1.25091822397,1.210694086183874
794,0.9828345739060208,0.8214101904278607,0.374343560371942,0.0034131819696958045,0.9263574987649658,0.0035587752342296918,0.9838533114388593,0.8213415680218906,0.00023421227826586334,0.00912852664575534,0.002738260649097602,0.9942413793100001,1.20355586576,1.19400483345163
238,0.4396067874038179,0.5694859038159205,0.5397989995401196,0.0014778213390604308,0.597683920497074,0.09404606286946779,0.4400189431055261,0.5692758430069653,0.00035164195387944036,0.10777171717158385,0.0018362990196101742,0.999888888889,1.02260292063,1.0237967888211192
712,0.46155915150954485,0.5974582532885573,0.5140679640714999,0.0014974253171817953,0.597770994836844,0.030243780680672266,0.4620171011816578,0.5975075119452737,0.0003462587407352584,0.03629792979301246,0.001894416132791099,0.999316831683,1.02006867563,1.022298990318169
429,0.14585126040161528,0.4553482587064677,0.7253741899983781,0.626850123523294,0.2666928166598774,0.0481629318394958,0.14602264599250442,0.45532338308457715,0.27908305443641,0.011292177272717007,0.3014146323531628,0.66205,1.08841376549,1.0855243841540116
1125,0.8688968428781204,0.8037935323383086,0.38268825018498726,0.0033683035714267627,0.8375127313720524,0.009310224089635853,0.8698008524397411,0.8034203980099504,0.00028549681782652513,0.0210686079545263,0.002940096507355103,0.99509375,1.13295585484,1.1176004648141449
1274,0.9644121965932454,0.8068481123781095,0.3816323485261775,0.004614298350915889,0.9258084356570276,0.0034887131323249297,0.9650897396002349,0.8059701492537314,0.0002952216022315608,0.008796791443832913,0.0034158737024142767,0.9922941176469999,1.18754404476,1.191970168378474
1124,0.26248164464023493,0.6750177683034826,0.45530304061933513,0.016863779346306732,0.3009549265258532,0.0036894757903081225,0.26276560006760724,0.6750177683014926,0.0024965152977804036,0.0025713636363617538,0.007890756302520507,0.956714285714,1.0211926170299999,1.0214986423396786
664,0.8461820851688694,0.8768656716417911,0.35048817914058006,0.003401020408161439,0.7466194894495265,0.12245098039215686,0.8462669018224572,0.876268656716418,0.0002936294748427424,0.2756409090906585,0.0029855514705904307,0.99995,1.03422183141,1.0344231806741637
854,0.24411687187004408,0.5140579155522389,0.6524559923306293,0.6624762455587205,0.4012732353674236,0.02282410400058824,0.24427561464579656,0.514070672279602,0.1406705010890404,0.014654801864773043,0.4062160633480928,0.666487179487,1.07739457526,1.0733987913603857
658,0.45419900706240823,0.5870646766169154,0.5232507895915056,0.003447291698638858,0.5983746456381932,0.07792450313445377,0.454564541866549,0.587443733712438,0.0006434160593995472,0.09215151515141624,0.0034472689075613584,0.9996666666670001,1.02378097131,1.0209674564568538
1170,0.8890824027606462,0.8223996297562189,0.3738383142931416,0.0027301101591156126,0.8376696101534554,0.008488046381344537,0.8895588094547323,0.8220293879442787,0.00023963613794825663,0.020093551797022643,0.00259888850889897,0.99488372093,1.06581490371,1.1189070134420824
1372,0.26056267520998533,0.6722071460895523,0.4569447780511928,0.008620862220494832,0.2997868247751826,0.004023427552829131,0.26064213564226923,0.6722523744915424,0.0012693814333476874,0.0027248657024757047,0.0039031584224587523,0.9800909090909999,1.0198810177,1.0242715132601112
586,0.2619921683795889,0.6739635157562189,0.45612309514683996,0.01626584317937365,0.3008407121324848,0.00402147525677871,0.26214971585390945,0.6736981757880598,0.0023144275365122743,0.0028015909090883624,0.007336029411777454,0.9628333333329999,1.02012379957,1.0222925355873815
88,0.2932234731057269,0.5061636263134329,0.6073348289530006,0.0018737826709630111,0.44884141512385317,0.8123249299719887,0.29364535022927685,0.5058411645472637,0.0006143725498627288,0.633417508416697,0.0021786764705905726,1.0,1.01972614008,1.0183161211375196
1439,0.15127689459251104,0.41806186459004985,0.9609172075857998,0.7532573670205408,0.3657343509381241,0.05153939836806722,0.15140710068195176,0.41808349556517416,0.3712697602086635,0.018815474308287443,0.4783503836319694,0.584565217391,1.14429588036,1.1430026947210006
938,0.36404374905066084,0.9354949390995027,0.32872846761910657,0.00435227230638327,0.3012896928509284,0.0015535593547759104,0.3644407954747207,0.9351518270716419,0.0012331107158348306,0.001475705329151386,0.005339224137930396,0.9552758620690001,1.0226659975599999,1.01562344135404
1378,0.7486162882672542,0.7739507590248758,0.3969355683521296,0.0021688858134333144,0.7482946338859777,0.10555196437563025,0.7488995914917694,0.7740145426716418,0.00035129586395939676,0.20992249417217282,0.003194824660634702,0.9998717948720001,1.0239288638600001,1.042470416040154
1338,0.3852827474603524,0.996649406029851,0.30832602455007535,0.0013932878844321198,0.2992184015657584,0.0013734636711820727,0.385727483233392,0.9962229667960198,0.00030532858228450664,0.001409545454544173,0.001427385954382667,0.987183673469,1.01971750948,1.0216831104325665
1374,0.38377215449265784,0.4693740599328359,0.6545810911456799,0.0024000824319992484,0.6328008622349526,0.9368770764117647,0.3841447575293944,0.4694434802726368,0.0006003264015151745,0.9574312896391297,0.0027979309165608807,0.9999767441859999,1.03131538625,1.043018985604685
688,0.18160892169676948,0.6095334140099503,0.5937396894074751,0.2763918628616131,0.27149069991263036,0.013134680899383753,0.1817690706584362,0.6096544305502488,0.06592142436496509,0.008399828009833275,0.19427897456286347,0.847594594595,1.10242509611,1.0940179288194045
477,0.4575888069427313,0.5920957012686568,0.5186179942312856,0.0013796618351657468,0.5977262696545249,0.041299216315686275,0.45789324191358016,0.5923975627482588,0.0003408333742000202,0.04917160367727349,0.001853263384007245,0.9996292134829999,1.01988039049,1.0224589899177474
