,EXEC,PhysIPC%,INST,MEM,L3MISS,INSTnom%,L3MPI,IPC,L3HIT,L2MISS,L2MPI,FREQ,GT,Pred
528,0.24441997063142437,0.5087562189054726,0.676908847253294,0.7205316863583671,0.4459632352944456,0.24470899470899465,0.15998067665392451,0.5087064676616916,0.6384,0.017113090909075354,0.026308123249299722,0.41608303504124605,1.09897757671,1.0807832075495998
740,0.45080763582966227,0.5831674958537314,0.5268007260257555,0.004761815252414199,0.004464338235290047,0.4512051734273956,0.0008318719116792795,0.5837479270298507,0.9995,0.09076136363628112,0.07717086834733893,0.5981027066064724,1.02555627438,1.0221673434333352
1353,0.26240822320117474,0.4367164179104478,0.8640992074265724,0.7643394199781073,0.5111029411768464,0.2627865961199294,0.15817911168760238,0.4367661691542289,0.6749,0.023063409090888127,0.030266106442577025,0.571757253202437,1.11264605287,1.1436356010245317
1354,0.9118942731277534,0.7387064676616916,0.41651479910992584,0.004446348012886978,0.004111764705885377,0.9121105232216342,0.00038084741859146625,0.7388059701492539,0.9999,0.3363181818178761,0.14058823529411762,0.9546038997734653,1.22826694415,1.1818231539689017
1163,0.1329126483311307,0.6706602124517415,0.4580982395149306,0.001881165994134865,0.002516619634347439,0.1330477302699882,0.001571540634513871,0.6706333198855724,0.9790000000000001,0.0014918857493831895,0.004282307517591036,0.15347944968278668,1.0689210330299999,1.0701851052288465
192,0.26124682952863437,0.6720940750796022,0.4571983495608103,0.01674738795037769,0.008482620320851826,0.26174442841122864,0.002688375812517904,0.6716417910447763,0.960363636364,0.0029501239669400456,0.004275528393165266,0.30100684215868334,1.01784757808,1.0215202496437026
1162,0.8994126284875185,0.8230706930467663,0.3739193250318968,0.0022631141807984622,0.0023876624486929322,0.9000348632128159,0.0002236418628422301,0.823093833159204,0.9951744186049999,0.021784133192384744,0.009317340889831932,0.8465013045249187,1.1621481752299998,1.1118263366232661
1350,0.7466960352422909,0.773576561635821,0.3978169720761583,0.005250089509476235,0.005215686274503836,0.7475994513036448,0.0005831131682732009,0.773355444995025,0.999888888889,0.23746969696937506,0.12004357298487393,0.7473428472738127,1.0389716484,1.0552952938193885
13,0.8885662795374449,0.8169154228855722,0.3763893657951153,0.05453190606385364,0.005059742647062544,0.8892496392489709,0.0004796055463707773,0.8171641791044777,0.9904318181820001,0.02005991735536813,0.008679017061372547,0.8423311510922837,1.08969341406,1.1017006862250371
1251,0.8857562408223202,0.827582089552239,0.3717076258125895,0.003717551020406167,0.003386911764708373,0.8864785420340975,0.0003175706509828718,0.8278606965174131,0.9933200000000001,0.019028418181800885,0.00812078431372549,0.8295619819136915,1.06130638566,1.1024034426695184
748,0.9138521781718063,0.7329353233830845,0.41912846143770494,0.005216219119234578,0.005472352941180494,0.9144620811287476,0.0005016490378591509,0.7330016583731345,0.9998666666670001,0.3357878787865129,0.1410830999067227,0.9651877668926553,1.223376023,1.188041417605926
331,0.29292706803744495,0.5056053067990051,0.6076975556518733,0.0018172932330828052,0.0017711029411777732,0.29311189496325685,0.0005083657729612353,0.5049253731343284,1.0,0.6372121212126026,0.835667600372549,0.4485579942219599,1.01741706906,1.0178668975745757
15,0.38685935317474307,0.9803421914815922,0.31341453681681347,0.055570812920850934,0.005604770444761474,0.38721842244855964,0.0012208617055901034,0.9802208469850748,0.960926829268,0.0020266629711727033,0.002009359841498599,0.3053702878309919,1.0200430570999999,1.016323074261777
1165,0.9782126148311308,0.8151220640985075,0.37697432268838754,0.0026549846376784886,0.002823965458281488,0.9790410565608464,0.0002430315706522959,0.8151104940398011,0.993930232558,0.009949101479918229,0.0039178229431372546,0.9289215981572382,1.15568142482,1.1659019154556212
1167,0.2625589303656388,0.6717989002358209,0.45757532401758905,0.0149720165074302,0.007841911764711648,0.26275178687389766,0.002451424815893293,0.6718381775323383,0.963855263158,0.0027884868421015566,0.004047250479131652,0.302562944958984,1.0186820366299998,1.021286639901445
333,0.3836649956960353,0.9904957968776121,0.31018631900278426,0.0025234267935840366,0.0027845841785094005,0.3838006041064079,0.0006010467070579406,0.9902213072587066,0.9788620689659999,0.0015921159874599166,0.0015595479571148458,0.29959616908797704,1.0189761457,1.0202242756482878
3,0.26060939794419974,0.6716915422885572,0.4574335076865494,0.010261949516643254,0.005285845588239181,0.26098618459729567,0.0016652735882419706,0.6717661691542289,0.972925,0.002643136363633961,0.003813025210084033,0.3002981937639847,1.01670577317,1.021568165635061
