,EXEC,MEM,INST,GT,Pred
7320,0.268141592921032,0.8190438457464343,0.6049768384050126,1.0520569948,1.0616357947728383
7744,0.3731984829339399,0.8127688476339144,0.5154045832010873,1.0816713788799999,1.0745407565600333
1325,0.26839443742141195,0.8125462229270999,0.6067846387417117,1.04286872788,1.064075804925015
4328,0.6673409186702083,0.6418207430871633,0.5107939102835717,1.4594167492299999,1.3481021829355682
5440,0.26725663716856457,0.8106444796624406,0.60752351247775,1.05711198503,1.064347421634255
6679,0.6369152970941516,0.5329107237194929,0.5351787680380931,1.50289496937,1.56307127772666
577,0.2695322376742593,0.8173534072900158,0.6081342044364614,1.0326040805399999,1.063826482370506
7313,0.4077659382344066,0.7297713380126784,0.6572842321847395,1.17737841124,1.1897950211614152
927,0.3705977966413922,0.736631197645008,0.6140402763451722,1.1517444043,1.154729883844345
2921,0.2678887484206521,0.7902799788700476,0.6058483476357839,1.0846423788200001,1.0711225420318922
2302,0.7706700379286238,0.7049354765689383,0.36921845454968416,1.22997379624,1.2246708114508564
7993,0.2834748058520442,0.8469549467955626,0.6789136679410441,1.08341175743,1.0892936796389379
2884,0.37439046415088345,0.7854652479064976,0.6342310143584833,1.12139877765,1.1294727100334163
6476,0.3668773704183739,0.7862387744326466,0.44629669152355245,1.0415626713700001,1.0567825062266383
3324,0.6514117151303449,0.6182778658209191,0.5271287746865856,1.4579134544699999,1.389658466193411
4032,0.2678887484206521,0.8230586370839937,0.6096945257820763,1.06721410516,1.0623237015284417
2076,0.8865360303435817,0.6720879556259906,0.36778307006566957,1.27853889126,1.2889648202487884
6162,0.2829329962080479,0.8523658591806657,0.6704585985740859,1.0836512661700002,1.0859633062457794
1163,0.7913400758553512,0.6856973058637085,0.3601006298547478,1.27273826125,1.2534178190182572
6517,0.3791583890201749,0.7633688023549922,0.6185247640045257,1.1175210098200001,1.139698601969723
7147,0.2821744627061497,0.8290242245879557,0.6796962929774004,1.1046434911,1.0913581166102846
6685,0.3740653783647891,0.761919855104596,0.628771494454803,1.11194141527,1.141920992159179
4023,0.26700379266818464,0.8157686212361331,0.6068003399410071,1.0686595592700001,1.0625797666390706
1321,0.2678887484206521,0.8236661384057052,0.6066640483445894,1.03892693092,1.061099245543629
450,0.2807657576313041,0.8001584786053882,0.6847591228397134,1.16280995835,1.1001255384405533
3211,0.26750948166970295,0.7871896460649762,0.6062787053701556,1.0847847042899998,1.0723822360543522
2888,0.4104749864559052,0.7203531808906497,0.6532090637662522,1.17235322579,1.1984465393754318
4976,0.37634097887048384,0.8252433778589541,0.5107234352887138,1.0958306244299998,1.0695367498569506
5018,0.3823008849567189,0.7802165874278921,0.44928254829920516,1.0509673764,1.0680592310314647
2892,0.2691529709233102,0.8297411516101427,0.6045331903531251,1.07116736129,1.0597280864712837
1167,0.26902654867349945,0.8230322239825674,0.6064378317846094,1.05052467903,1.0616680807138883
2066,0.8014448257188408,0.7147385103011094,0.35292323872857206,1.18406370438,1.2089075492639936
2123,0.3846848473913646,0.8128820466386688,0.6139202660026392,1.09264684442,1.1139445680918498
6513,0.26750948166970295,0.8120972002107766,0.605374818450467,1.04337444703,1.0632788579253312
3075,0.27003792667577764,0.8216851558383519,0.6099497624918839,1.04237969087,1.0636900306937864
6175,0.2663716814168556,0.8117802430015849,0.6005016466223131,1.0657998368500001,1.0610654181635528
5015,0.3776413220163784,0.7459814353629161,0.6249819410684315,1.1511113702,1.1538015615252062
4336,0.37991692252207315,0.7720624858510301,0.6176133533422767,1.09657977691,1.1340457964819866
7246,0.2824995484930026,0.8517998641616482,0.6722665768181859,1.08473555346,1.0864154407823254
6343,0.2834748058520442,0.8483812542440571,0.6765919690079655,1.08931787727,1.0884295696523156
6858,0.6713780025301427,0.5513153724247226,0.5121935014586643,1.57545277332,1.527786095557864
5140,0.26738305941913376,0.8020338087686213,0.6057975109989353,1.04299165194,1.066472855672111
3206,0.26750948166970295,0.8130480718431062,0.6066201095893814,1.07550767721,1.063467468955473
6284,0.26839443742141195,0.8149498151077654,0.6095106884194461,1.06255659741,1.0644123050733227
913,0.28379989163889713,0.8466153497844692,0.6808504265554831,1.08441288344,1.090081448577453
7987,0.3878273433279086,0.8228209191759114,0.4882867933716855,1.0883554959000001,1.0658324979210019
5209,0.8002528445026555,0.6832012678288432,0.3591549850680409,1.28111674468,1.2583319367380617
4978,0.3792667509491259,0.7819070258843107,0.44843274663225435,1.06684489457,1.0654250921735826
2516,0.26738305941913376,0.8127575277337561,0.6018710757111693,1.06724536934,1.061766097052597
5210,0.2823911865640516,0.8466153497860539,0.6746589213242866,1.0823883893700001,1.0874921616772397
1326,0.6343868520873184,0.6323648529683042,0.5408012930696406,1.3755601282799998,1.363515063929785
1741,0.3761242550125819,0.7258093728779715,0.6169315390533708,1.18533113101,1.1674529171835517
7544,0.6139907290361922,0.6216059165356578,0.5588264077190507,1.45034293206,1.380863138684964
2894,0.9348925410895953,0.6441957210776547,0.34426063127981327,1.31622503933,1.336044732972506
5892,0.3823008849567189,0.7786318013740094,0.44418800911894235,1.05635216294,1.0669218140829548
7049,0.3791583890201749,0.8171383291822504,0.504472394379771,1.06406766749,1.0709526756058272
159,0.3895611341888485,0.8229567579793979,0.5072792302656516,1.08797395212,1.0738090221737098
