,EXEC,FREQ,MEM,L3MISS,PhysIPC%,INST,L2MPI,GT,Pred
216,0.7912768647327215,0.7701838977351683,0.5915742208129953,0.18151151362018472,0.6458429739315131,0.3368100825730282,0.034230033476793396,1.1665802168600001,1.2067909756550779
2202,0.365309734514198,0.355842117066567,0.6260538827258321,0.27047598989036625,0.7080055529847293,0.33786145069791096,0.018769727403156383,1.08620282591,1.0553235121210547
5675,0.24591656131541323,0.3479703969499498,0.7255150554675118,0.31323083403525137,0.4723739009717723,0.4902597093615281,0.03312051649928264,1.0589266856200001,1.0142603191943085
5170,0.24925410872376555,0.3471630410405531,0.6593977812995246,0.2881676495365256,0.4777417862100879,0.4832056128239521,0.03007890961262554,1.03768308654,1.0407880418286581
3467,0.3636409608100219,0.5267997308813045,0.613122028526149,0.2663184498735188,0.43535400277649233,0.5015618108449705,0.08185078909612625,1.0844746899700002,1.0994352121032382
3236,0.35317319848382606,0.3516034985422346,0.6268462757527734,0.2692375737151351,0.6806108283202221,0.3450342711290832,0.02051362984218077,1.02948046045,1.0492213789892249
1554,0.25107458912832137,0.3574568288853603,0.6840253565768623,0.26251474304959455,0.4753354928273947,0.4937395738860691,0.032790530846484936,1.0168167939,1.0311666608405328
2336,0.3493805309743348,0.5411302982730948,0.5951822503961965,0.2580033698398239,0.4029615918556224,0.537348571098391,0.16205164992826399,1.11087715454,1.110988087747047
6801,0.2664981036666663,0.4660798385284295,0.7001056524041205,0.33673125526523306,0.43159031312633045,0.6081039903748372,0.03807986609289813,1.14096956515,1.09911465430795
1442,0.24804045512072834,0.3493832697913939,0.6730903328050712,0.27873209772524066,0.4758907913003239,0.48805229741579814,0.031843615494978474,1.03109277237,1.0349312764257166
7089,0.24925410872376555,0.35402556627042453,0.6862123613312203,0.2701811288962636,0.47440999537251266,0.4923651789035466,0.033220946915351504,1.02561653549,1.029616292488792
7847,0.250771175727562,0.3532182103610279,0.6576545166402537,0.2887868576241412,0.47644608977325303,0.4876700263678488,0.030889526542324245,1.00511512333,1.0446151165323476
6241,0.6605141171531239,0.982395155863985,0.46939602042630746,0.41149489843643156,0.41585685639333636,0.515824706908839,0.6671449067431849,1.59370988831,1.5543913988174096
2860,0.6781289506970372,0.9728638708229456,0.5231378763866879,0.2655012636902841,0.43035631652012957,0.4965375197824809,0.6266653002654232,1.3830223284399998,1.42868832501633
6633,0.3957016434905075,0.7180421619196324,0.6400950871632329,0.3401221566974136,0.3475242943081906,0.6301158275921673,0.8524629363952655,1.1577528320000001,1.1502825580965463
954,0.3496839443750941,0.35947521865885185,0.6661806656101427,0.30538753159212073,0.67043035631652,0.3568531492869363,0.022659971305595408,1.05808610376,1.0381700058561978
7106,0.36864728192255036,0.608039919264341,0.6996302165863708,0.32623911822458873,0.3984266543267006,0.5718877335354863,0.17808464849354375,1.1156516354200001,1.0952103050998154
7808,0.3449810366633249,0.5201390446287822,0.590554675118859,0.2526958719459761,0.4140675613142064,0.5221479890708038,0.19720229555236726,1.1181919009299999,1.0990496630843087
928,0.3480151706709179,0.355842117066567,0.6731854199683043,0.29270850884570654,0.6696899583526146,0.35481739565778025,0.021858680057388807,1.0773100672700002,1.0305644436937966
93,0.24925410872376555,0.3574568288853603,0.6994611727416801,0.30697978096027506,0.47366959740860715,0.49727765596341106,0.03432568149210904,1.03445437676,1.0307589932627867
2666,0.9168773704195118,0.9401911863645505,0.5352812995245643,0.17186710193758556,0.6073577047663119,0.35537344011920285,0.017768113342898136,1.4312830739200002,1.3632766726383312
516,0.3992414664988604,0.7242655303882347,0.6541732699413629,0.3447662173545304,0.3490667900666358,0.6288868651529415,0.84768053562769,1.14263809844,1.1423147108207161
4233,0.3510493046785109,0.35099798161018714,0.6270998415213946,0.2776411120470608,0.6774641369736233,0.3468236923037022,0.020771879483500715,1.01977383921,1.0499601796101734
2243,0.24804045512072834,0.3487777528593464,0.6762599049128368,0.286545914068961,0.4758907913003239,0.48757088944470217,0.03314203730272597,1.0227159199200002,1.0338598674251864
1838,0.24895069532300623,0.3516034985422346,0.6756576862123614,0.2682350463351861,0.4758907913003239,0.48894139575165096,0.03216642754662841,1.0384144799500001,1.0331421970901247
1624,0.24682680151769115,0.3518053375195838,0.6802852614896989,0.29114574557696243,0.47348449791763064,0.4947369837617129,0.03411764705882353,1.0341708091600001,1.0354136517128272
5671,0.36409608091116086,0.6364655752413505,0.7008188061283677,0.3257722549849091,0.3711244794076816,0.6064459250521528,0.19643711143005738,1.12416111267,1.1093513221145501
7382,0.2691529709233102,0.46742543171143,0.7445589012139461,0.36270359449626677,0.4322073114298936,0.606476279839838,0.03848637015781922,1.09005139101,1.0792209463805371
