,EXEC,MEM,INST,L3MISS,INSTnom%,L3MPI,L2MPI,L3HIT,PhysIPC%,L2MISS,FREQ,IPC,GT,Pred
5643,0.217127180090143,0.2527515997673066,0.4362035848382769,0.4407198306280876,0.2174901960784314,0.5757142857142857,0.0995180722891566,0.39913159652638613,0.5230529595015576,0.035610425240054866,0.2114236999147485,0.5245901639344264,1.024760007691829,1.046561771633387
3838,0.6055261610817166,0.2471785922047703,0.24924505565422994,0.4336626676076219,0.6062745098039215,0.19914285714285718,0.02471084337349397,0.3196392785571142,0.914018691588785,0.024801097393689985,0.3371696504688832,0.9164715066354412,1.0352550729403944,1.027975361535671
3189,0.5671173819321966,0.23609075043630023,0.26651412830993426,0.4107268877911081,0.5670588235294118,0.20414285714285715,0.025132530120481927,0.31429525718102874,0.8548286604361368,0.02331961591220851,0.3375959079283887,0.8555815768930525,1.035078830495648,1.0282315610851243
4809,0.5843621399176956,0.2232984293193718,0.2583851714162791,0.38637967537050116,0.584313725490196,0.18471428571428575,0.02337349397590361,0.3296593186372745,0.8816199376947038,0.02253772290809328,0.33674339300937767,0.8836846213895395,1.0269539311608866,1.0290038894368543
6649,0.5761316872427983,0.24318789994182674,0.2615274171597348,0.4266055045871561,0.5764705882352941,0.2068571428571429,0.02555421686746988,0.3156312625250501,0.8716510903426792,0.024266117969821678,0.33589087809036655,0.8743169398907104,1.019431153967559,1.0279075575900132
5642,0.409954928473447,0.27998254799301925,0.369189023782031,0.45448129851799596,0.41019607843137257,0.308857142857143,0.039084337349397584,0.33266533066132264,0.6171339563862928,0.026488340192043894,0.3375959079283887,0.6198282591725217,1.0220387838516258,1.0307195822202344
3306,0.4142661179698216,0.2502617801047121,0.36591462002343206,0.3962597035991533,0.41411764705882337,0.269857142857143,0.03519277108433735,0.3503674014696058,0.6233644859813084,0.02381344307270233,0.3371696504688832,0.626073380171741,1.035163052877753,1.0325522153494917
227,0.8783068783068784,0.15618673647469464,0.4404869590089205,0.3472124206069161,0.8788235294117648,0.1113214285714286,0.5015060240963854,0.9814629258517035,0.5172897196261682,0.7283950617283951,0.862851662404092,0.5175644028103046,1.2648199703763443,1.2227144348250154
2265,0.9519890260631001,0.22210005817335665,0.23721091116073384,0.38426252646436143,0.9513725490196081,0.11257142857142859,0.013939759036144578,0.3169672678690715,0.9626168224299065,0.021906721536351165,0.5034100596760444,0.9633099141295861,1.0309972123289866,1.0287243561392996
2048,0.612580834803057,0.2279290285049448,0.2457149355965107,0.39449541284403683,0.6125490196078431,0.17871428571428577,0.022216867469879522,0.32030728122912494,0.9277258566978194,0.02262002743484225,0.3354646206308611,0.9289617486338796,1.0270967389136492,1.029130416433274
5497,0.8759553203997648,0.22489237929028505,0.43988394955162324,0.38637967537050116,0.8768627450980392,0.12428571428571432,0.40963855421686746,0.976619906479626,0.5199376947040498,0.5898491083676269,0.8563512361466327,0.5214676034348166,1.0683793916621316,1.1161934428976201
4662,0.41269841269841273,0.2536358347876673,0.36645700965252603,0.3994354269583628,0.4125490196078432,0.27028571428571435,0.03559036144578314,0.3573814295257181,0.6224299065420561,0.024224965706447193,0.3371696504688832,0.6229508196721313,1.0316609657750513,1.03253324830115
6066,0.4087791495198902,0.2707911576497965,0.36842496585227996,0.43860268172194794,0.4078431372549019,0.2965714285714286,0.037313253012048186,0.3296593186372745,0.6190031152647975,0.025432098765432096,0.3350383631713555,0.6213895394223264,1.042267177434289,1.031016751690275
6588,0.605918087399569,0.24411285631180926,0.24832670921192962,0.4287226534932958,0.6062745098039215,0.19700000000000004,0.024156626506024088,0.3112892451569806,0.9171339563862927,0.024224965706447193,0.33631713554987214,0.9195940671350505,1.0366341123277087,1.028258654926623
