,EXEC,L2MPI,MEM,L3MISS,L2MISS,INST,IPC,L3HIT,PhysIPC%,INSTnom%,L3MPI,FREQ,GT,Pred
5656,0.42602390750538904,0.027036144578313253,0.18212332751599772,0.2868736767819338,0.018710562414266118,0.3531357942076622,0.6479313036690088,0.40480961923847697,0.6448598130841121,0.42588235294117655,0.19100000000000006,0.3350383631713555,1.038824669287246,1.035592742159381
6552,0.4279835390946503,0.02724096385542169,0.19363583478766733,0.29604798870853927,0.019026063100137172,0.35302676688300594,0.6479313036690088,0.40180360721442887,0.6461059190031152,0.42823529411764705,0.1955714285714286,0.33631713554987214,1.0220352492083105,1.0349162970386763
784,0.395453654712914,0.06273493975903613,0.9115764979639328,0.5257586450247002,0.04241426611796982,0.7353659431046224,0.35768930523028886,0.45090180360721444,0.3573208722741432,0.3968627450980392,0.39300000000000007,0.6466325660699062,1.0745422514521985,1.0790921182769493
5994,0.4213207916911621,0.06628915662650602,0.9575334496800467,0.5194071983062811,0.04378600823045268,0.7008098540000268,0.35394223263075725,0.5073480293921175,0.3529595015576324,0.42117647058823543,0.3875714285714287,0.659846547314578,1.0704612327886178,1.073345983674927
3236,0.4283754654125024,0.023385542168674698,0.17114601512507277,0.25158786167960484,0.016296296296296295,0.3507347770601104,0.652615144418423,0.40180360721442887,0.6495327102803737,0.4290196078431373,0.16614285714285712,0.3354646206308611,1.0317358734705195,1.0334631474951714
2687,0.8986870468351951,0.5542168674698794,0.10466433973240258,0.16901905434015532,0.8285322359396433,0.42820862790804676,0.5339578454332553,0.9939879759519038,0.5327102803738317,0.9003921568627451,0.052142857142857164,0.8580562659846546,1.1662296587905652,1.2115099202713937
1673,0.2571036645110719,0.06843373493975903,0.12248981966259456,0.19230769230769235,0.028381344307270236,0.4072953518916846,0.5604996096799374,0.6192384769539078,0.5598130841121496,0.2572549019607843,0.21214285714285722,0.23316283034953103,1.0399389325609742,1.054841864730316
986,0.4322947285910247,0.0240722891566265,0.17014543339150673,0.25299929428369805,0.017078189300411523,0.35129967278939805,0.6510538641686183,0.4258517034068136,0.649221183800623,0.4329411764705882,0.16442857142857148,0.3384484228473998,1.0416709177489205,1.034284404401407
3866,0.4256319811875367,0.02604819277108434,0.18746364165212334,0.2808750882145378,0.01790123456790124,0.35170800941374614,0.6494925839188135,0.3954575818303273,0.6470404984423676,0.42666666666666664,0.18828571428571433,0.33461210571184996,1.0248661220274875,1.0342137754491012
5261,0.5784832451499119,0.09048192771084335,0.12053694008144272,0.1824276640790403,0.08669410150891632,0.4006565531675466,0.5698672911787666,0.9191716766867069,0.5691588785046728,0.5788235294117647,0.08771428571428574,0.5166240409207161,1.0326653088072195,1.0584037624600715
4450,0.6235547717029198,0.016999999999999998,0.17240197789412454,0.2868736767819338,0.017297668038408782,0.24154498932228757,0.9461358313817331,0.35637942551770213,0.9423676012461056,0.6235294117647059,0.13000000000000003,0.33589087809036655,1.0286309928419692,1.032685771140824
2559,0.6016068979031942,0.013963855421686747,0.12541535776614313,0.20183486238532114,0.013662551440329218,0.2518297069030251,0.9071038251366121,0.41850367401469596,0.9049844236760123,0.6023529411764706,0.09528571428571432,0.3375959079283887,1.0311992399923824,1.0336982041058271
571,0.5784832451499119,0.09253012048192771,0.14214659685863879,0.21594918842625271,0.08950617283950617,0.41083282152505857,0.5573770491803279,0.9063126252505009,0.5551401869158878,0.5776470588235294,0.10242857142857147,0.5300511508951407,1.0769383516703477,1.0550895882294349
5662,0.4377816970409563,0.02710843373493976,0.1728970331588133,0.2604093154551871,0.019410150891632373,0.35444051306850016,0.6432474629195941,0.4779559118236473,0.6420560747663552,0.4376470588235295,0.16857142857142865,0.345694799658994,1.0322339146724424,1.0362918505236787
699,0.5988634136782285,0.014855421686746986,0.14114601512507274,0.23076923076923087,0.014622770919067213,0.2523497365656632,0.9039812646370025,0.3807615230460922,0.902803738317757,0.5992156862745099,0.1078571428571429,0.33674339300937767,1.0354877036284438,1.0326754720389122
2091,0.5882814030962178,0.11879518072289158,0.12688772542175683,0.1923076923076924,0.1149519890260631,0.4162599159198738,0.5495706479313036,0.9335337341349366,0.5476635514018691,0.5882352941176471,0.0922857142857143,0.5460358056265985,1.0743465822245677,1.0637555091411752
2875,0.9682539682539681,0.008873493975903615,0.13799301919720772,0.2207127734650671,0.01440329218106996,0.2331615675928684,0.9836065573770493,0.4023046092184369,0.9813084112149533,0.9682352941176474,0.06257142857142858,0.5012787723785166,1.0408305251637155,1.0321438903764824
3164,0.39937291789143636,0.06449397590361443,0.9237929028504946,0.5268172194777703,0.04289437585733882,0.7218918637358059,0.3603434816549571,0.46726786907147627,0.3598130841121495,0.4,0.4000000000000001,0.6427962489343564,1.0719861856989503,1.077847127723519
1610,0.6345287086027828,0.014024096385542171,0.14189063408958702,0.22794636556104453,0.014567901234567901,0.2387623710803209,0.9555035128805621,0.38877755511022044,0.9532710280373832,0.6352941176470589,0.10100000000000002,0.3380221653878943,1.0317224632151178,1.0331265018938613
4540,0.6306094454242602,0.01253012048192771,0.12685282140779525,0.19901199717713483,0.013017832647462278,0.23820700426132768,0.9586260733801719,0.3984635938543754,0.9563862928348907,0.6313725490196078,0.08814285714285718,0.33461210571184996,1.028170704646172,1.0333732481802298
3808,0.636880266509896,0.01178313253012048,0.11663757998836534,0.182074805928017,0.01226337448559671,0.2383139095763367,0.9586260733801717,0.4134936539746159,0.9532710280373832,0.6368627450980392,0.08042857142857146,0.3384484228473998,1.0379286997775494,1.033822551079545
1492,0.44013325494806976,0.022204819277108434,0.14363583478766728,0.2088920254057869,0.01592592592592593,0.3483686118954918,0.6557377049180328,0.47962591850367403,0.6548286604361371,0.44,0.13400000000000004,0.3414322250639386,1.0423031260153788,1.0351824720922642
4730,0.6368802665098962,0.01195180722891566,0.11871436881908089,0.1884262526464362,0.012551440329218105,0.236775452682113,0.9648711943793912,0.4131596526386105,0.9657320872274142,0.6376470588235296,0.08285714285714288,0.33631713554987214,1.0316118297976968,1.034344106171557
1425,0.9676660787771899,0.009240963855421686,0.13893542757417107,0.2353563867325336,0.014609053497942387,0.23281488404442618,0.9804839968774396,0.36907147628590514,0.9781931464174456,0.967843137254902,0.0685714285714286,0.5021312872975277,1.0249123703751617,1.032895515073184
2722,0.42994317068391125,0.02662650602409639,0.18367655613728917,0.28616796047988713,0.018504801097393688,0.3526465549639074,0.6463700234192038,0.4038076152304609,0.6457943925233643,0.4290196078431373,0.1898571428571429,0.3380221653878943,1.0336855492576105,1.0353166179990165
3787,0.9053497942386831,0.5325301204819277,0.11303664921465972,0.20783345095271702,0.8065843621399177,0.4226798645796962,0.5386416861826698,0.9913159652638609,0.5376947040498442,0.9058823529411765,0.06357142857142858,0.8554987212276215,1.2512842896595688,1.215497128951012
189,0.598079561042524,0.01498795180722891,0.14150668993600934,0.23041637261820755,0.0148559670781893,0.25275367942570476,0.9039812646370025,0.38877755511022044,0.9021806853582557,0.5984313725490197,0.10714285714285718,0.33674339300937767,1.031662031571997,1.0327619413807818
2588,0.6225749559082893,0.016355421686746988,0.14615183246073302,0.2429428369795343,0.01726337448559671,0.23999511404630258,0.953161592505855,0.4493987975951904,0.9485981308411213,0.6223529411764707,0.10607142857142861,0.33312020460358055,1.0401613497502142,1.034857353340509
4458,0.6227709190672153,0.017975903614457826,0.17537521815008728,0.2875793930839803,0.018491083676268862,0.2459547227065228,0.927400468384075,0.38142952571810285,0.9274143302180683,0.6235294117647059,0.1288571428571429,0.3418584825234442,1.0401670117691026,1.0324949742147516
1983,0.24926513815402704,0.07240963855421684,0.12127981384525892,0.18913196894848278,0.029012345679012345,0.410069551406148,0.5558157689305231,0.6219104876419506,0.5551401869158878,0.25011764705882356,0.21828571428571433,0.22804774083546459,1.062621348078256,1.0559219923274228
1936,0.4283754654125024,0.0243012048192771,0.1715881326352531,0.266407904022583,0.017078189300411523,0.34919066567202356,0.652615144418423,0.3954575818303273,0.6526479750778815,0.4290196078431371,0.1748571428571429,0.3333333333333333,1.038522287466051,1.034362065888749
