,EXEC,PhysIPC%,L3MISS,L2MISS,MEM,L3HIT,FREQ,L2MPI,IPC,INSTnom%,INST,L3MPI,GT,Pred
2378,0.6114050558495003,0.92398753894081,0.38108680310515186,0.02207133058984911,0.2160500290866783,0.3269873079492318,0.33589087809036655,0.02183132530120482,0.92583918813427,0.6109803921568628,0.2464557258622271,0.1735714285714286,1.0332791156407315,1.0413033451427616
1338,0.6172839506172839,0.939252336448598,0.30204657727593515,0.018052126200274347,0.18022687609075047,0.3513694054776219,0.3337595907928389,0.017506024096385544,0.9414519906323185,0.6180392156862745,0.24255083598434077,0.13500000000000004,1.050908649144979,1.0340549669705084
3769,0.5871056241426612,0.8526479750778815,0.3602681721947778,0.022702331961591226,0.20932518906340902,0.3323313293253172,0.3503836317135549,0.023445783132530117,0.8555815768930525,0.5874509803921569,0.2673083843961019,0.1718571428571429,1.0375849341232348,1.0446428964439232
1113,0.21987066431510874,0.5258566978193147,0.3620324629498943,0.03530864197530864,0.21288539848749277,0.47661990647962593,0.21398124467178176,0.09795180722891567,0.5261514441842311,0.22015686274509805,0.43514857164709936,0.4668571428571429,1.0847336952308322,1.073983744394221
2517,0.8877131099353321,0.525233644859813,0.3341566690190544,0.6200274348422496,0.18620709714950553,0.9782899131596527,0.8593350383631714,0.4218072289156626,0.5261514441842311,0.8886274509803923,0.4331525875936752,0.1058571428571429,1.1397973271647768,1.1496592464159328
1483,0.21987066431510874,0.5174454828660435,0.3574453069865915,0.03795610425240055,0.21058755090168702,0.49832999331997335,0.21781756180733158,0.10566265060240962,0.518345042935207,0.22007843137254898,0.44413185290665236,0.46414285714285725,1.086374697141255,1.088277285337778
5673,0.23515579071134626,0.5093457943925234,0.3207480592801695,0.03809327846364883,0.19190808609656776,0.5494321977287908,0.2344416027280477,0.098433734939759,0.5105386416861828,0.23521568627450984,0.44689902005591214,0.3817142857142859,1.088298016777122,1.0675694390508834
4386,0.41740152851263956,0.6299065420560747,0.37367678193366277,0.022578875171467765,0.23876090750436307,0.35370741482965934,0.33674339300937767,0.033168674698795184,0.6307572209211555,0.41803921568627467,0.36164652567975836,0.2528571428571429,1.0322025982594802,1.0276807688602547
1163,0.24769743288261806,0.5267912772585669,0.3066337332392379,0.03533607681755831,0.18616637579988368,0.521376085504342,0.23870417732310314,0.08795180722891564,0.5292740046838408,0.24737254901960787,0.432068174701905,0.3535714285714287,1.041864330289491,1.035181880204231
2651,0.572604350382128,0.5442367601246105,0.36238532110091753,0.09725651577503427,0.21161140197789416,0.8517034068136272,0.5345268542199488,0.10385542168674695,0.5464480874316938,0.5733333333333333,0.4183208777230084,0.17871428571428577,1.034308744522203,1.049809413040828
1001,0.5604546345287086,0.546417445482866,0.3362738179251942,0.11632373113854595,0.20063408958696924,0.8871075484301938,0.5204603580562659,0.12469879518072288,0.5480093676814989,0.56,0.41681788835059136,0.167,1.036959215016193,1.0582272368399437
2103,0.220262590632961,0.5828660436137072,0.34509527170077636,0.026186556927297665,0.2027341477603258,0.3897795591182365,0.1918158567774936,0.07301204819277109,0.5839188134270102,0.22031372549019618,0.39101550686204917,0.442857142857143,1.0281310886342458,1.027078004913725
4102,0.42994317068391125,0.6383177570093457,0.3256880733944955,0.020685871056241426,0.21036649214659692,0.386439545758183,0.3418584825234442,0.02930120481927711,0.6401249024199845,0.4298039215686274,0.3570444743347742,0.2128571428571429,1.0461707461270735,1.0324901110428994
2348,0.62355477170292,0.9401869158878504,0.3211009174311928,0.01905349794238683,0.1850261780104713,0.3430193720774883,0.3371696504688832,0.01850602409638554,0.9398907103825136,0.6235294117647059,0.24264353224867655,0.1438571428571429,1.0341513233732231,1.033042627658265
1881,0.5486968449931412,0.5242990654205608,0.3359209597741709,0.14320987654320985,0.2014834205933683,0.9084836339345359,0.53154305200341,0.15927710843373488,0.5245901639344264,0.5490196078431372,0.4345089327274885,0.17257142857142863,1.0949981299580718,1.062749442089343
1682,0.42445620223398,0.6386292834890964,0.3352152434721243,0.020836762688614542,0.21463641652123333,0.37675350701402816,0.3375959079283887,0.030000000000000002,0.6401249024199843,0.4250980392156863,0.3569128227489334,0.2224285714285715,1.0373944279426583,1.030655746206742
94,0.38683127572016457,0.36074766355140186,0.522935779816514,0.04122085048010974,0.886561954624782,0.4158316633266533,0.63384484228474,0.0606024096385542,0.36206088992974245,0.38666666666666666,0.7368955025604768,0.38671428571428584,1.0836141850006344,1.0796674598967488
2102,0.421320791691162,0.6342679127725857,0.35885673959068465,0.02175582990397805,0.22832460732984305,0.3583834335337341,0.3371696504688832,0.03143373493975903,0.63544106167057,0.42117647058823543,0.35898564665932975,0.2388571428571429,1.028967555090361,1.032694196940187
2177,0.8888888888888887,0.5314641744548286,0.33486238532110096,0.5569272976680385,0.18716695753344975,0.9762859051436207,0.850383631713555,0.376024096385542,0.5323965651834504,0.8894117647058822,0.4285467343569937,0.10500000000000002,1.1549927749916635,1.1247505591196028
6409,0.5929845189104448,0.8956386292834889,0.30875088214537766,0.018093278463648832,0.18493310063990695,0.334001336005344,0.33631713554987214,0.018590361445783132,0.8977361436377831,0.5929411764705883,0.25442342117998623,0.14642857142857144,1.0239787534869502,1.0231841455926087
5366,0.42602390750538893,0.6411214953271027,0.32639378969654204,0.019945130315500686,0.2112274578243165,0.36639946559786224,0.3371696504688832,0.028710843373493968,0.6432474629195941,0.42588235294117655,0.35544651780278347,0.21657142857142864,1.0189015153859218,1.0296133467611917
3604,0.38536155202821865,0.39556074766355137,0.49435426958362755,0.03637860082304527,0.8512216404886565,0.406563126252505,0.5677749360613812,0.05609638554216867,0.39707259953161594,0.38529411764705884,0.6630231756523856,0.36514285714285727,1.0874513991465833,1.084915367979983
859,0.5859298451891045,0.8850467289719626,0.3535638673253353,0.020534979423868314,0.20610820244328104,0.3276553106212425,0.33631713554987214,0.0213012048192771,0.8868071818891491,0.5858823529411763,0.2574260579366343,0.16900000000000004,1.0273506054799133,1.0299681791563042
2606,0.41661767587693505,0.6292834890965732,0.37967537050105865,0.022976680384087785,0.23642815590459576,0.35470941883767537,0.33674339300937767,0.03393975903614457,0.6323185011709604,0.4164705882352941,0.3622348051790145,0.2584285714285715,1.0315742586168215,1.028597796346098
5413,0.22653341171859687,0.5404984423676014,0.35885673959068465,0.03375857338820302,0.21115183246073307,0.4365397461589846,0.21611253196930943,0.09012048192771081,0.5417642466822794,0.22729411764705887,0.4266616314199396,0.44900000000000007,1.0387373081815792,1.0248497339056204
1298,0.6137566137566137,0.9289719626168225,0.36344389555398743,0.02112482853223594,0.21193717277486918,0.3283233132932532,0.33631713554987214,0.02067469879518072,0.9320843091334895,0.6149019607843138,0.24516464864149307,0.16400000000000003,1.0388183806397076,1.0368106325873239
4583,0.23358808543993728,0.5632398753894081,0.300635144671842,0.0291358024691358,0.18100639906922633,0.47661990647962593,0.21312872975277064,0.0763855421686747,0.5651834504293521,0.23388235294117646,0.40755018064134396,0.3694285714285715,1.051959196273417,1.04587126410365
2156,0.41857730746619637,0.6289719626168223,0.36732533521524363,0.022427983539094642,0.23128563118091922,0.3613894455577821,0.3384484228473998,0.03291566265060241,0.6307572209211555,0.4196078431372549,0.362730110775428,0.2482857142857144,1.0311037670858851,1.0286214752893192
3501,0.5620223398001175,0.5420560747663551,0.3750882145377559,0.06406035665294925,0.2211401977894125,0.7625250501002003,0.5268542199488492,0.0697590361445783,0.5433255269320844,0.5615686274509804,0.4204256528371872,0.18828571428571433,1.08829170867393,1.082573343815362
3799,0.5890652557319224,0.8884735202492212,0.33027522935779835,0.01969821673525377,0.1967306573589296,0.3466933867735471,0.33674339300937767,0.02016867469879518,0.8899297423887589,0.5890196078431372,0.2562998442513746,0.1558571428571429,1.034162770729267,1.0292173577403307
4203,0.2249657064471879,0.5121495327102803,0.3577981651376148,0.037585733882030174,0.20993019197207682,0.4789579158316633,0.2246376811594203,0.10048192771084336,0.5136612021857925,0.22462745098039216,0.4480229023514034,0.4500000000000001,1.0557807487784578,1.0561536560050104
822,0.4287673917303545,0.647663551401869,0.2858151023288639,0.018299039780521262,0.18755671902268764,0.39812959251837005,0.33589087809036655,0.026072289156626505,0.6510538641686183,0.42823529411764705,0.3518751172554778,0.18771428571428578,1.0343104278702815,1.033697385069475
2655,0.9602194787379971,0.9719626168224299,0.35426958362738187,0.02054869684499314,0.20530541012216408,0.3273213092852371,0.5021312872975277,0.01289156626506024,0.9742388758782202,0.9607843137254903,0.23484573398034464,0.10242857142857148,1.025354242303636,1.0338442972517576
3078,0.6129727611209093,0.9242990654205608,0.3697953422724066,0.021371742112482852,0.21478184991273996,0.32431529726118896,0.33674339300937767,0.02114457831325301,0.927400468384075,0.6133333333333333,0.24682564064776139,0.1688571428571429,1.0268252324744351,1.0346106498172603
2732,0.4205369390554575,0.6271028037383177,0.3821453775582217,0.023086419753086413,0.24237347294938924,0.3486973947895792,0.3410059676044331,0.033915662650602404,0.6276346604215458,0.4203921568627451,0.3636116893769995,0.25842857142857145,1.0160500586153254,1.0251111237518984
