,EXEC,PhysIPC%,MEM,L2MISS,L3MISS,INST,FREQ,INSTnom%,IPC,L3MPI,L2MPI,L3HIT,GT,Pred
2805,0.9664902998236332,0.9813084112149533,0.11223385689354279,0.011646090534979425,0.1614326040931546,0.23234345682938468,0.5019181585677749,0.9682352941176474,0.9812646370023421,0.045857142857142874,0.007210843373493975,0.45791583166332667,1.0386600420625929,1.0351805952843005
4146,0.4326866549088771,0.6532710280373832,0.13146596858638748,0.013580246913580247,0.17307692307692313,0.34890919126191033,0.33695652173913043,0.4329411764705882,0.6533957845433256,0.11228571428571434,0.019156626506024094,0.5,1.0419893094778598,1.034506994020017
2136,0.4344503233392122,0.6621495327102802,0.11364746945898781,0.011893004115226338,0.13708539167254769,0.3441521259442586,0.33312020460358055,0.43411764705882355,0.6651053864168619,0.08828571428571431,0.016626506024096384,0.5450901803607214,1.0405942213331998,1.0361865200774125
5836,0.4344503233392122,0.6546728971962616,0.1312129144851658,0.013333333333333334,0.17043048694424848,0.3482952093223997,0.33695652173913043,0.43411764705882355,0.6557377049180328,0.11078571428571432,0.01884939759036144,0.4984969939879761,1.0373981430320187,1.0341208091942329
1839,0.5937683715461493,0.9051401869158877,0.10961605584642237,0.012407407407407409,0.16884262526464366,0.25173418722845436,0.33312020460358055,0.5941176470588235,0.9063231850117097,0.07800000000000003,0.01246987951807229,0.466432865731463,1.0418467068768844,1.036044957971717
2201,0.5655496766607878,0.5336448598130842,0.12526178010471206,0.20164609053497942,0.18260409315455195,0.4268827378103801,0.5383631713554987,0.5658823529411765,0.5339578454332553,0.08914285714285716,0.21433734939759036,0.9664328657314629,1.0409785056201646,1.0470461356417278
5039,0.5931804820693709,0.8971962616822429,0.09867364746945902,0.012530864197530864,0.17360621030345805,0.25407218953728733,0.3356777493606138,0.5929411764705884,0.8992974238875879,0.08207142857142859,0.01286746987951807,0.45090180360721444,1.070644503724456,1.0397116657177383
6312,0.43209876543209874,0.6514018691588783,0.13328970331588136,0.014176954732510289,0.17572335920959778,0.34950762935485113,0.33695652173913043,0.431764705882353,0.6533957845433256,0.11292857142857145,0.01978915662650602,0.5140280561122245,1.038073610738317,1.0351027530255312
309,0.5937683715461493,0.9023364485981308,0.11520069808027929,0.012427983539094651,0.17307692307692313,0.25262579009895414,0.3350383631713555,0.5941176470588235,0.9063231850117097,0.08185714285714288,0.01277710843373494,0.4493987975951904,1.0269590828773212,1.0344928749861435
6492,0.43386243386243384,0.6542056074766355,0.11952006980802796,0.012839506172839507,0.15243472124206073,0.34846319736548126,0.33695652173913043,0.43411764705882355,0.6557377049180328,0.09942857142857145,0.018216867469879515,0.531062124248497,1.0279639950973585,1.036349443627383
