,EXEC,L2MISS,L2MPI,INSTnom%,L3HIT,FREQ,L3MPI,MEM,IPC,PhysIPC%,INST,L3MISS,GT,Pred
37,0.2850867253553212,0.5692403486931508,0.5113287190784377,0.28527066869007867,0.9982242862994125,0.3054449226158606,0.33844428755261624,0.1319232990644497,0.911942959,0.9115042390628703,0.8517099538179297,0.24341477153389174,1.02311753591,1.0566565917949566
33,0.754850518608629,0.021486924034876714,0.007233464725778894,0.7553950559124928,0.9524199790556759,0.751797599636834,0.09642115536377013,0.10949948018975793,0.9814616755803922,0.9810710987987248,0.7914956796991136,0.1857714670335464,1.02458089305,1.0216912599859413
147,0.5067021309499521,0.017993813521863015,0.009071961144948945,0.5071158405603531,0.9621342639306038,0.5012282914887527,0.09996035897985377,0.0555623437308063,0.987602783047059,0.9894260268656608,0.7857912050576981,0.12788110386128326,1.02644411466,1.0243448623137406
61,0.40209454974573344,0.11405690200219179,0.07198440003143187,0.4025212937125311,0.9740227445464599,0.5022787415469705,0.40347717609036404,0.48873130681401356,0.7826546003019609,0.7829852972502004,0.991961405565622,0.4120599260021067,1.02138971314,1.024343937931483
98,0.2823308831363375,0.6123592085232876,0.5552406964833465,0.28268406575781996,0.9991693100014569,0.3068117220417641,0.25772904928721585,0.11820076238896847,0.8995206971686275,0.9001436339386887,0.8634680870509427,0.1828455739923245,1.05740425365,1.0544339476848406
121,0.2642983297165868,0.7863013698630138,0.7622774074141749,0.264460806593744,0.9990486392191411,0.29533109456867307,0.2930201245465445,0.12094295459118287,0.8749226006196079,0.876148126545359,0.8872619821460591,0.1949474347496823,1.1306510439200002,1.0576327663743936
135,0.4029721955896453,0.12277397260273973,0.07687564015020878,0.40318556898867774,0.9646223193554551,0.5024073801820778,0.5835998172686921,0.7213119440924031,0.7838235294117648,0.7850530932587396,0.9904671709002537,0.6029523734512723,1.03718581856,1.026073916828114
24,0.5133711925660595,0.571338250789041,0.2796176169340594,0.5137062131874879,0.9989107555017983,0.562040576300987,0.1262518888149166,0.11765907535950146,0.8926093514313727,0.8947368421044369,0.8685901735399651,0.1668201573683926,1.02569011194,1.0690100085262217
54,0.40312707426807287,0.11811380400410959,0.0733434881950199,0.4033479473897524,0.9624648447213884,0.5030138194640534,0.5963910461403347,0.8181800410522466,0.7834087481137256,0.7831362312659436,0.991673641998673,0.619637923513768,1.02459844314,1.0253009308790113
80,0.4023969319271333,0.10634931506849316,0.06749231819732544,0.40276338514680476,0.9791968310341902,0.5019773595998962,0.32549680219307947,0.2658707115632349,0.7831372549019608,0.7840916435819169,0.991177386384224,0.33096907162378225,1.02503846271,1.0235487921313466
19,0.2781916070504314,0.6101159114849315,0.5649079496803404,0.2783461021807714,0.9986795975050765,0.30652749191474277,0.33444143796056136,0.12513635030789724,0.8883861236784314,0.8880957454368531,0.875360107469544,0.2295332266979781,1.07977930317,1.0560843624439609
74,0.2644295302013423,0.5630136986301371,0.5377261864116527,0.2648244099021301,0.9976779128536171,0.28381358423980424,0.40060529922375565,0.15817344345636358,0.9098039215686274,0.9104339796852166,0.8528342155573869,0.2647421760135816,1.0624823369299998,1.056986012557158
131,1.0,0.013335616438356165,0.0034049590303852155,1.0,0.9537289987708335,0.9983644516314327,0.03812985381456202,0.04578146442191331,0.9774509803921569,0.9781278855023287,0.794529799154946,0.09679492228528501,1.03284843098,1.0255727266385883
16,0.3996164908916587,0.1192202318230137,0.07606166452188867,0.39998228599194013,0.9636976873695694,0.5030873272569083,0.5972519942367266,0.8015638745002561,0.7764705882352941,0.7767064422178885,1.0,0.604793756966291,1.01836149371,1.0261834875136544
60,0.40168153993633743,0.10374077976821917,0.06455077868530819,0.40181273341930523,0.9777212724900018,0.501764187002719,0.32224057349641133,0.2877338481089552,0.781598793364706,0.782140066765021,0.9927335472004544,0.3336261774354829,1.0223288964100001,1.0227380153055081
120,0.4031357509445829,0.11474617244164384,0.07134135320217284,0.4034903541155248,0.9696307426127524,0.5021965857783731,0.4670303388620073,0.5661880559101349,0.7840830449843137,0.7836103416429514,0.9900991866677018,0.48424082928874407,1.02141966305,1.0244737830376445
40,0.28477294517583895,0.7875466998767123,0.7072845215560417,0.2847821915179428,0.998634066385011,0.31995268771185537,0.2979484197850598,0.13564456509210374,0.8693404634588235,0.8704776294788824,0.8928440524661404,0.21277281319838942,1.1109285009299998,1.0626171008143286
22,0.4029795707651007,0.12288724973643837,0.0776334795283582,0.4030527139328344,0.9657781093380624,0.503381358424506,0.5558280915057614,0.6262134688697029,0.7831070889882353,0.7828645500387047,0.9922665802528429,0.5661989239479973,1.01979576645,1.0265382947049413
63,0.7508518327309684,0.017040042149643834,0.005800942826378319,0.7516053319163309,0.9710176905920814,0.7506615701256613,0.03943019292274045,0.039552790538554705,0.9782805429882355,0.977448682430307,0.7938095134579967,0.07475380899295041,1.02330952301,1.0255989747467287
151,0.5246899452571429,0.5536897923123287,0.2695073734296228,0.5250431778929189,0.9989704091784364,0.5587493242029291,0.12499300019170854,0.10786572119521964,0.9184060721058824,0.9180293688334091,0.8463032652014967,0.1657621399677934,1.11746815644,1.0689840260609877
111,0.4026310508594439,0.10194329404273972,0.06321230358798852,0.4029401132665515,0.9797407690951109,0.501890688785283,0.28575754034475626,0.2941053751370573,0.7842225262196079,0.7850576563773914,0.9898527911150772,0.29642370422484576,1.02424506715,1.0223683542541055
145,0.28394519531121765,0.5365532479013699,0.48359177964501804,0.28426219968988675,0.998485723056504,0.30283313256955185,0.2259302376988816,0.11953514776425607,0.9168880455411766,0.917523009556863,0.8477494460028511,0.1612327309930483,1.05805313837,1.0510217219379936
136,0.2731437093852349,0.625996955860274,0.5879139638105858,0.27326808673958936,0.9934485776587886,0.2985723153315355,0.7799096492574508,0.228754764930405,0.8958605664470589,0.8956089053024973,0.8679550079560322,0.5377546733882261,1.1066393940200001,1.0743561359346308
27,0.9994837377411313,0.014056902002109588,0.0035206292512558,0.999896668290923,0.9402736770581324,1.0,0.05077133921352286,0.06079572866785996,0.9761689291098039,0.977448682430307,0.7950830540354158,0.13061170083844287,1.01894396817,1.0235305304708961
