,EXEC,MEM,FREQ,L2MPI,GT,Pred
5645,0.29039264828738515,0.5131082529476646,0.34740119760479043,0.019372727272727267,1.04294265633,1.0501281592616842
5920,0.8593358395989974,0.35648669167572583,0.9988023952095809,0.09735795454545454,1.5524247292299997,1.5289855138699315
6344,0.44635398018880534,0.43503036798872274,0.7364927288277845,0.7577922077931818,1.26623803517,1.2620746691528995
5475,0.43990929705179616,0.46582708110109533,0.7470316509834731,0.7224025974022726,1.26971890642,1.218912020040532
6751,0.8774714564160399,0.4411992378240233,0.6409580838323354,0.00939015151515909,1.19194351901,1.1925513570145003
7747,0.8966861598412698,0.475065499583771,0.654211576845988,0.010109848484840908,1.18047698567,1.1384922714438415
6984,0.33235867446365913,0.5186435631766769,0.45237524950131736,0.018636363636363635,1.06562422711,1.0823472217062973
4979,0.16492898913951545,0.4803215434085318,0.25178443113772453,0.06172727272727272,1.04108306733,1.0389083290599348
71,0.272765246449457,0.8863582231760937,0.4678642714567665,0.04234469696977273,1.17397886251,1.216599058594772
1010,0.8744082428320803,0.47477372871363865,0.6491017964071857,0.009,1.1348860819,1.1400264034223995
5759,0.5221386800334169,0.5022627128729912,0.5900199600795211,0.027162878787954547,1.13698010359,1.115821531563155
2693,0.2673350041771094,0.8736453495303229,0.4704191616766467,0.0336325757575,1.31895162087,1.2080235317218069
3854,0.866889445839599,0.47533642967701867,0.6553293413173653,0.00871590909090909,1.17496822186,1.1439047312463653
6144,0.1455639097744361,0.45141121829240854,0.21269461077844312,0.06477272727272727,1.0620369924200002,1.0553988266181795
1167,0.44708994709022554,0.49344706442836495,0.4455089820359282,0.013776515151522725,1.0979842043299999,1.079870459489314
3862,0.16700083542188804,0.4946016434442639,0.25197604790419165,0.04210454545454545,1.04632471025,1.0416496023229807
1954,0.9163533834586466,0.3406841729190213,0.9976047904191617,0.09392045454545453,1.62452746312,1.5646125259669772
5662,0.33208020050125314,0.5151839942838569,0.4474251497005988,0.01934848484847727,1.06725953836,1.082352941660468
7801,0.2883876357560568,0.5014790996786357,0.3414610778443114,0.01743181818181818,1.0773458579700002,1.0599532461989216
6246,0.26956279587886384,0.9057401452911416,0.4807984031932935,0.04542424242431818,1.21148479347,1.2534666352694694
6611,0.2905597326649958,0.5114326545196539,0.3458682634730539,0.018059090909090907,1.04929476842,1.0519769536718577
