,EXEC,MEM,FREQ,L2MISS,L3MISS,INST,INSTnom%,L3HIT,PhysIPC%,L3MPI,L2MPI,IPC,GT,Pred
7669,0.28671679197994987,0.4884744551627326,0.34050299401197603,0.012500658761528326,0.2522690317812269,0.47203041173570753,0.2866220735785953,0.6849397590361446,0.4588450962419799,0.06851480420248329,0.01705454545454545,0.4588990825688073,1.0387255439,1.0312018389988435
4381,0.42005012531328323,0.4786209360487598,0.3466347305389222,0.0116600790513834,0.2701552106430155,0.32800292316406093,0.4200668896321071,0.6198795180722891,0.6907424381301559,0.04916905444126075,0.010868181818181817,0.6908256880733944,1.0317992957700002,1.03528327101116
7924,0.27220829852380946,0.9082410384660266,0.4903792415166468,0.024795783926218708,0.6041635870909091,0.7143103256708858,0.2722686733561873,0.5629183400271084,0.33058356248120996,0.21573543457497613,0.042147727272727274,0.3311162079509174,1.2550338487200001,1.2387667331399848
2314,0.42105263157894735,0.48984994640960694,0.3504670658682635,0.012748353096179183,0.29374722838137474,0.3305073640508306,0.4220735785953177,0.608433734939759,0.6887259395050412,0.0524116523400191,0.011704545454545455,0.6889908256880732,1.05182801446,1.0478634744678346
6944,0.1610860484544695,0.4660664523045609,0.24354491017964072,0.01779183135704875,0.25286031042128604,0.5996719771623099,0.16107023411371238,0.8046184738955824,0.3472043996333639,0.1315186246418338,0.05068181818181818,0.3479816513761468,1.01295745052,1.0410829585356103
3123,0.15744360902255639,0.4662415148268904,0.241437125748503,0.01914624505928854,0.2727864005912786,0.6089896335331708,0.1574916387959866,0.781726907630522,0.3437213565536205,0.14622731614135623,0.05440909090909091,0.3445871559633027,1.02444678963,1.036351856277291
6026,0.8405272440350877,0.2993985947371559,0.9985362608095808,0.16246523203056654,0.14469902274781965,0.47079105492653756,0.8413229282792641,0.9880633645692771,0.44250942051145736,0.013618274434885388,0.08146464646454546,0.4429153924568807,1.69604539063,1.5950285807422955
1101,0.4927596769699248,0.44761819697443644,0.5641516966064671,0.0356609574,0.22714954422320768,0.45410195504141365,0.4930323299882943,0.8622824631857429,0.4822792545068744,0.03709009869460363,0.03046969696977273,0.48264525994036694,1.20825650396,1.1420358575597382
4251,0.2905597326649958,0.49702750982511507,0.34874251497005987,0.01329117259552042,0.27861049519586106,0.47630906804990736,0.2903010033444816,0.6736947791164658,0.45792850595783685,0.07346227316141357,0.017668181818181816,0.458256880733945,1.0367630086,1.039853414437879
7466,0.16507936507936508,0.4763201143267154,0.25350898203592814,0.01742292490118577,0.2539541759053955,0.6103502831651249,0.16498327759197326,0.7785140562248996,0.3422548120989918,0.13185291308500477,0.04572727272727272,0.3423853211009174,1.0228311534399999,1.0295470338832975
