,EXEC,L2MISS,L3MISS,L3MPI,INST,PhysIPC%,L3HIT,IPC,INSTnom%,MEM,FREQ,L2MPI,GT,Pred
288,0.327,0.01729911504424166,0.013985413985413987,0.013866906474820145,0.3466574414115542,0.6746376811594202,0.98475,0.6748188405797102,0.327,0.028324496288441147,0.2796160524791512,0.023140537289504066,0.9978336755760001,1.0191864130423087
567,0.3403333333333333,0.020251327433631765,0.00849992849992278,0.008263788968820145,0.33401769725375613,0.7000000000000001,0.992166666667,0.6992753623188406,0.34,0.012305879580530225,0.2805003537200345,0.026589815557336246,0.994982848907,1.0207579475602948
523,0.2996666666666667,0.039480530973437344,0.4418275418275418,0.4565107913669065,0.47928115511368413,0.5362318840579711,0.833,0.5357789855072465,0.3,0.5821845174973489,0.35416264711543344,0.05746792301525962,1.07865802454,1.1296497828175225
442,0.45399999999999996,0.022014159292027602,0.014560274560274561,0.010453237410071942,0.25174236246412973,0.9275362318840581,0.9875,0.9257246376811595,0.45333333333333337,0.023789324849770237,0.28279953694760457,0.021363271852454433,1.02184375431,1.013085213219612
218,0.3253333333333333,0.054297345132617934,0.936936936936937,0.925179856115108,0.7871926769218168,0.389371980676087,0.680333333333,0.38937198067753637,0.3253333333333333,0.9006716154118063,0.634574570711698,0.07193263833190533,1.02214943688,1.1559414674563102
713,0.32253333333333334,0.02510442477875217,0.014472758472758473,0.014762589928057554,0.35264792729224986,0.6630434782608696,0.9894,0.6623188405797102,0.32239999999999996,0.027277483209614706,0.2807833301175841,0.034657578187664254,1.01885966078,1.0196611505153106
372,0.9733333333333333,0.24870796460178804,0.010416130416130416,0.0035347721822589933,0.4043434673724381,0.5782608695652174,0.9990000000000001,0.5772946859891305,0.9720000000000001,0.015100742311770944,0.9695478808926415,0.11403368083404733,1.35136223845,1.279280256557266
266,0.6315000000000001,0.03504424778759821,0.008511368511368512,0.004413669064748201,0.35690376974200233,0.6541666666666668,0.99525,0.6539855072463768,0.6313333333333334,0.014043831742665252,0.5565792012345913,0.02447574178028247,1.01874644465,1.0269962311259755
274,0.4455555555553334,0.6679646017707369,0.0071128271128271135,0.00518705035971223,0.6321002095410228,0.3704106280195652,1.0,0.37016908212681165,0.4457777777773333,0.00891245434193001,0.6938227538742258,0.6591820368899997,1.1806359818,1.1222326172650354
653,0.6453333333333333,0.023345840707956332,0.009352209352209352,0.004742446043165469,0.35280324570263943,0.6623188405797102,0.9924,0.6623188405797102,0.6453333333333333,0.013853658536585366,0.5619911248309619,0.015964715316766624,1.04727450467,1.0339715662860816
10,0.314,0.0336000000000943,0.007732017732012013,0.00802278177457554,0.3604201139434424,0.6485507246376813,0.995583333333,0.6485507246376813,0.314,0.05516319076229057,0.2793507621067801,0.04709302325583284,1.01907520466,1.0084630530024774
180,0.2925,0.19561061946895728,0.011145431145431145,0.01233093525179856,0.39479509752521685,0.5920289855072465,0.99875,0.5932971014492754,0.29233333333333333,0.015478967833156594,0.2846565695542023,0.2943765036087788,1.00401994068,0.9947681083811344
521,0.6144999999999999,0.04030088495573794,0.010999570999571,0.005838129496402877,0.3669761565620368,0.6356884057971015,0.99475,0.634963768115942,0.614,0.01805585012371863,0.5573750723517047,0.028833199679241712,1.0232077169,1.0265872731282095
666,0.33044444444466664,0.025136283185831807,0.016931216931222653,0.016642685851366905,0.34372668205760554,0.6799516908210146,0.987333333333,0.6799516908224639,0.33066666666666666,0.03291151172376105,0.2805003537200345,0.03328388131515769,1.01111688641,1.0172988893252353
697,0.97238095238,0.292323640960569,0.007025801311522952,0.002396711202460432,0.40484525046596,0.5768115942028985,0.999714285714,0.5766045548659421,0.9721904761906668,0.00997828611827501,0.9720239243677514,0.13434528582900335,1.29346494752,1.260972340537193
